Date,Value
2016-03-06,6671077.0
2016-03-05,32002913.0
2016-03-04,8296806.0
2016-03-03,15341988.0
2016-03-02,10157893.0
2016-03-01,39666548.0
2016-02-29,12020988.0
2016-02-28,9370889.0
2016-02-27,5540260.0
2016-02-26,4543374.0
2016-02-25,13540000.0
2016-02-24,6204846.0
2016-02-23,5344300.0
2016-02-22,5332115.0
2016-02-21,5540357.0
2016-02-20,8038527.0
2016-02-19,7314970.0
2016-02-18,3561984.0
2016-02-17,9033538.0
2016-02-16,11793759.0
2016-02-15,11946551.0
2016-02-14,4101712.0
2016-02-13,5481382.0
2016-02-12,6182746.0
2016-02-11,12201118.0
2016-02-10,6250353.0
2016-02-09,5991962.0
2016-02-08,4693501.0
2016-02-07,2629662.0
2016-02-06,7784373.0
2016-02-05,4040921.0
2016-02-04,7939565.0
2016-02-03,3458416.0
2016-02-02,5480683.0
2016-02-01,11801830.0
2016-01-31,6093630.0
2016-01-30,9426070.0
2016-01-29,8610732.0
2016-01-28,7152973.0
2016-01-27,9484678.0
2016-01-26,6985998.0
2016-01-25,16852681.0
2016-01-24,9725191.0
2016-01-23,48864501.0
2016-01-22,12217232.0
2016-01-21,6132568.0
2016-01-20,6863977.0
2016-01-19,6845700.0
2016-01-18,4257270.0
2016-01-17,3101872.0
2016-01-16,11453664.0
2016-01-15,13326588.0
2016-01-14,4059957.0
2016-01-13,10509063.0
2016-01-12,5187745.0
2016-01-11,4517709.0
2016-01-10,11742078.0
2016-01-09,2864812.0
2016-01-08,50743214.0
2016-01-07,5755046.0
2016-01-06,4772141.0
2016-01-05,3809268.0
2016-01-04,4325220.0
2016-01-03,2499777.0
2016-01-02,1862300.0
2016-01-01,1909312.0
2015-12-31,4192994.0
2015-12-30,2492947.0
2015-12-29,3342814.0
2015-12-28,3323197.0
2015-12-27,3365744.0
2015-12-26,3055678.0
2015-12-25,13130075.0
2015-12-24,8330356.0
2015-12-23,5700353.0
2015-12-22,6269346.0
2015-12-21,5158731.0
2015-12-20,2063484.0
2015-12-19,15685342.0
2015-12-18,2830975.0
2015-12-17,4320683.0
2015-12-16,5350755.0
2015-12-15,8597706.0
2015-12-14,20769581.0
2015-12-13,6097032.0
2015-12-12,7200093.0
2015-12-11,7263536.0
2015-12-10,13996040.0
2015-12-09,10824077.0
2015-12-08,4121714.0
2015-12-07,5121674.0
2015-12-06,10420119.0
2015-12-05,6961589.0
2015-12-04,7024395.0
2015-12-03,5818196.0
2015-12-02,7277255.0
2015-12-01,4504425.0
2015-11-30,5409812.0
2015-11-29,1816284.0
2015-11-28,3939474.0
2015-11-27,8641842.0
2015-11-26,4063527.0
2015-11-25,4100990.0
2015-11-24,3066865.0
2015-11-23,5232926.0
2015-11-22,3518916.0
2015-11-21,3189573.0
2015-11-20,3863000.0
2015-11-19,5423023.0
2015-11-18,6911263.0
2015-11-17,6104966.0
2015-11-16,3922868.0
2015-11-15,3427810.0
2015-11-14,15379184.0
2015-11-13,5967078.0
2015-11-12,6804695.0
2015-11-11,8323649.0
2015-11-10,12142160.0
2015-11-09,19844259.0
2015-11-08,7400982.0
2015-11-07,24944432.0
2015-11-06,9182579.0
2015-11-05,14207915.0
2015-11-04,32293624.0
2015-11-03,15914393.0
2015-11-02,4604004.0
2015-11-01,22423852.0
2015-10-31,12836879.0
2015-10-30,10927791.0
2015-10-29,7678617.0
2015-10-28,40009510.0
2015-10-27,5779483.0
2015-10-26,4265343.0
2015-10-25,4012513.0
2015-10-24,2368270.0
2015-10-23,4002726.0
2015-10-22,7772552.0
2015-10-21,3125674.0
2015-10-20,6335003.0
2015-10-19,4415616.0
2015-10-18,2882514.0
2015-10-17,4500652.0
2015-10-16,3335756.0
2015-10-15,11641425.0
2015-10-14,4639614.0
2015-10-13,5332716.0
2015-10-12,9050528.0
2015-10-11,2564806.0
2015-10-10,2949225.0
2015-10-09,2700805.0
2015-10-08,4892644.0
2015-10-07,13892084.0
2015-10-06,3895081.0
2015-10-05,3981539.0
2015-10-04,1773092.0
2015-10-03,3746627.0
2015-10-02,3316045.0
2015-10-01,4154593.0
2015-09-30,4356216.0
2015-09-29,2546750.0
2015-09-28,5308320.0
2015-09-27,2109848.0
2015-09-26,1805978.0
2015-09-25,3364706.0
2015-09-24,2123435.0
2015-09-23,8766719.0
2015-09-22,11204308.0
2015-09-21,4371241.0
2015-09-20,1961529.0
2015-09-19,2820318.0
2015-09-18,2354306.0
2015-09-17,2865606.0
2015-09-16,3109638.0
2015-09-15,4330831.0
2015-09-14,1734158.0
2015-09-13,1611945.0
2015-09-12,1590446.0
2015-09-11,2183400.0
2015-09-10,18401319.0
2015-09-09,4068814.0
2015-09-08,2898789.0
2015-09-07,3489547.0
2015-09-06,2613743.0
2015-09-05,2406262.0
2015-09-04,4435944.0
2015-09-03,6477807.0
2015-09-02,5052749.0
2015-09-01,5549818.0
2015-08-31,3019431.0
2015-08-30,4504434.0
2015-08-29,3402426.0
2015-08-28,4383864.0
2015-08-27,7006227.0
2015-08-26,39189034.0
2015-08-25,7718331.0
2015-08-24,28078520.0
2015-08-23,2910619.0
2015-08-22,4191219.0
2015-08-21,4180310.0
2015-08-20,6782670.0
2015-08-19,8515347.0
2015-08-18,3745384.0
2015-08-17,5437215.0
2015-08-16,5647310.0
2015-08-15,2945460.0
2015-08-14,6544553.0
2015-08-13,3627874.0
2015-08-12,3173876.0
2015-08-11,4038934.0
2015-08-10,8034558.0
