Date,Value
2016-03-06,331787.0
2016-03-05,499154.0
2016-03-04,397632.0
2016-03-03,513865.0
2016-03-02,550823.0
2016-03-01,516140.0
2016-02-29,519281.0
2016-02-28,337806.0
2016-02-27,345129.0
2016-02-26,336689.0
2016-02-25,357288.0
2016-02-24,331024.0
2016-02-23,376960.0
2016-02-22,324376.0
2016-02-21,314704.0
2016-02-20,345692.0
2016-02-19,320564.0
2016-02-18,359979.0
2016-02-17,409578.0
2016-02-16,369361.0
2016-02-15,359679.0
2016-02-14,260679.0
2016-02-13,308067.0
2016-02-12,310536.0
2016-02-11,358666.0
2016-02-10,342728.0
2016-02-09,291366.0
2016-02-08,248301.0
2016-02-07,212980.0
2016-02-06,324084.0
2016-02-05,402893.0
2016-02-04,314482.0
2016-02-03,292879.0
2016-02-02,387109.0
2016-02-01,405273.0
2016-01-31,202151.0
2016-01-30,389588.0
2016-01-29,389924.0
2016-01-28,394562.0
2016-01-27,341404.0
2016-01-26,315971.0
2016-01-25,464271.0
2016-01-24,197719.0
2016-01-23,281154.0
2016-01-22,265149.0
2016-01-21,331592.0
2016-01-20,313982.0
2016-01-19,227882.0
2016-01-18,191993.0
2016-01-17,180107.0
2016-01-16,304279.0
2016-01-15,325720.0
2016-01-14,204586.0
2016-01-13,250059.0
2016-01-12,221764.0
2016-01-11,238935.0
2016-01-10,191718.0
2016-01-09,156330.0
2016-01-08,270905.0
2016-01-07,281067.0
2016-01-06,215148.0
2016-01-05,209072.0
2016-01-04,187554.0
2016-01-03,121051.0
2016-01-02,105790.0
2016-01-01,129785.0
2015-12-31,176226.0
2015-12-30,233474.0
2015-12-29,237312.0
2015-12-28,249458.0
2015-12-27,184029.0
2015-12-26,313290.0
2015-12-25,287748.0
2015-12-24,415035.0
2015-12-23,382912.0
2015-12-22,469864.0
2015-12-21,437257.0
2015-12-20,316336.0
2015-12-19,370213.0
2015-12-18,395919.0
2015-12-17,393711.0
2015-12-16,432569.0
2015-12-15,459606.0
2015-12-14,403953.0
2015-12-13,380438.0
2015-12-12,425448.0
2015-12-11,436728.0
2015-12-10,452652.0
2015-12-09,504936.0
2015-12-08,428441.0
2015-12-07,432522.0
2015-12-06,524019.0
2015-12-05,514472.0
2015-12-04,348038.0
2015-12-03,399510.0
2015-12-02,496223.0
2015-12-01,457413.0
2015-11-30,401381.0
2015-11-29,221480.0
2015-11-28,312191.0
2015-11-27,445023.0
2015-11-26,450963.0
2015-11-25,328198.0
2015-11-24,284536.0
2015-11-23,274593.0
2015-11-22,233138.0
2015-11-21,314122.0
2015-11-20,365576.0
2015-11-19,372267.0
2015-11-18,444488.0
2015-11-17,387851.0
2015-11-16,421882.0
2015-11-15,343130.0
2015-11-14,418981.0
2015-11-13,434122.0
2015-11-12,510220.0
2015-11-11,671383.0
2015-11-10,442431.0
2015-11-09,507869.0
2015-11-08,330281.0
2015-11-07,413449.0
2015-11-06,555941.0
2015-11-05,743830.0
2015-11-04,767411.0
2015-11-03,629453.0
2015-11-02,461680.0
2015-11-01,383229.0
2015-10-31,392312.0
2015-10-30,542572.0
2015-10-29,480319.0
2015-10-28,380826.0
2015-10-27,371412.0
2015-10-26,311249.0
2015-10-25,313144.0
2015-10-24,264396.0
2015-10-23,298197.0
2015-10-22,335902.0
2015-10-21,312636.0
2015-10-20,315188.0
2015-10-19,301928.0
2015-10-18,212008.0
2015-10-17,350601.0
2015-10-16,302282.0
2015-10-15,366146.0
2015-10-14,331030.0
2015-10-13,291359.0
2015-10-12,236578.0
2015-10-11,161324.0
