Date,Value
2016-03-06,171486.0
2016-03-05,238117.0
2016-03-04,212104.0
2016-03-03,221257.0
2016-03-02,276448.0
2016-03-01,260619.0
2016-02-29,265695.0
2016-02-28,224697.0
2016-02-27,182423.0
2016-02-26,209880.0
2016-02-25,218699.0
2016-02-24,225112.0
2016-02-23,246578.0
2016-02-22,224964.0
2016-02-21,209276.0
2016-02-20,225259.0
2016-02-19,215552.0
2016-02-18,212765.0
2016-02-17,227403.0
2016-02-16,218780.0
2016-02-15,207397.0
2016-02-14,188927.0
2016-02-13,190560.0
2016-02-12,202906.0
2016-02-11,227463.0
2016-02-10,233941.0
2016-02-09,230799.0
2016-02-08,220559.0
2016-02-07,212134.0
2016-02-06,232752.0
2016-02-05,215910.0
2016-02-04,201065.0
2016-02-03,200087.0
2016-02-02,231998.0
2016-02-01,221764.0
2016-01-31,168625.0
2016-01-30,209984.0
2016-01-29,222622.0
2016-01-28,231454.0
2016-01-27,226385.0
2016-01-26,236175.0
2016-01-25,210592.0
2016-01-24,193572.0
2016-01-23,200913.0
2016-01-22,226106.0
2016-01-21,210240.0
2016-01-20,196033.0
2016-01-19,205735.0
2016-01-18,213934.0
2016-01-17,192731.0
2016-01-16,190301.0
2016-01-15,185105.0
2016-01-14,183390.0
2016-01-13,191628.0
2016-01-12,196656.0
2016-01-11,179771.0
2016-01-10,164687.0
2016-01-09,178374.0
2016-01-08,190001.0
2016-01-07,177873.0
2016-01-06,177478.0
2016-01-05,187012.0
2016-01-04,170176.0
2016-01-03,141064.0
2016-01-02,142904.0
2016-01-01,123623.0
2015-12-31,164132.0
2015-12-30,181836.0
2015-12-29,187040.0
2015-12-28,166837.0
2015-12-27,156554.0
2015-12-26,170904.0
2015-12-25,184124.0
2015-12-24,227189.0
2015-12-23,221289.0
2015-12-22,223130.0
2015-12-21,222112.0
2015-12-20,191441.0
2015-12-19,216944.0
2015-12-18,214387.0
2015-12-17,219600.0
2015-12-16,222531.0
2015-12-15,227706.0
2015-12-14,221499.0
2015-12-13,186151.0
2015-12-12,211456.0
2015-12-11,211198.0
2015-12-10,211452.0
2015-12-09,222503.0
2015-12-08,192097.0
2015-12-07,185788.0
2015-12-06,179777.0
2015-12-05,200213.0
2015-12-04,160944.0
2015-12-03,170317.0
2015-12-02,177277.0
2015-12-01,184404.0
2015-11-30,172183.0
2015-11-29,130758.0
2015-11-28,171602.0
2015-11-27,156739.0
2015-11-26,164730.0
2015-11-25,152463.0
2015-11-24,150056.0
2015-11-23,142698.0
2015-11-22,126564.0
2015-11-21,158852.0
2015-11-20,155128.0
2015-11-19,154561.0
2015-11-18,168587.0
