Date,Value
2016-03-06,166280.0
2016-03-05,232294.0
2016-03-04,205061.0
2016-03-03,212413.0
2016-03-02,262461.0
2016-03-01,245671.0
2016-02-29,245731.0
2016-02-28,207856.0
2016-02-27,176145.0
2016-02-26,200108.0
2016-02-25,206844.0
2016-02-24,208244.0
2016-02-23,226977.0
2016-02-22,210446.0
2016-02-21,195461.0
2016-02-20,212896.0
2016-02-19,203632.0
2016-02-18,201293.0
2016-02-17,216842.0
2016-02-16,207335.0
2016-02-15,195212.0
2016-02-14,179497.0
2016-02-13,190560.0
2016-02-12,202906.0
2016-02-11,227463.0
2016-02-10,225892.0
2016-02-09,222310.0
2016-02-08,211844.0
2016-02-07,201390.0
2016-02-06,221523.0
2016-02-05,205366.0
2016-02-04,193967.0
2016-02-03,195252.0
2016-02-02,222371.0
2016-02-01,209322.0
2016-01-31,160035.0
2016-01-30,200127.0
2016-01-29,213749.0
2016-01-28,225456.0
2016-01-27,220900.0
2016-01-26,229053.0
2016-01-25,206515.0
2016-01-24,190634.0
2016-01-23,197648.0
2016-01-22,221077.0
2016-01-21,204315.0
2016-01-20,190881.0
2016-01-19,199344.0
2016-01-18,209219.0
2016-01-17,188183.0
2016-01-16,187774.0
2016-01-15,181095.0
2016-01-14,178801.0
2016-01-13,187904.0
2016-01-12,192859.0
2016-01-11,173501.0
2016-01-10,160954.0
2016-01-09,175150.0
2016-01-08,186956.0
2016-01-07,175175.0
2016-01-06,174238.0
2016-01-05,183870.0
2016-01-04,165476.0
2016-01-03,136272.0
2016-01-02,138136.0
2016-01-01,118543.0
2015-12-31,159215.0
2015-12-30,177368.0
2015-12-29,181479.0
2015-12-28,158084.0
2015-12-27,147338.0
2015-12-26,155481.0
2015-12-25,167557.0
2015-12-24,208294.0
2015-12-23,208259.0
2015-12-22,212631.0
2015-12-21,216719.0
2015-12-20,187359.0
2015-12-19,212043.0
2015-12-18,210012.0
2015-12-17,213882.0
2015-12-16,216574.0
2015-12-15,221166.0
2015-12-14,215962.0
2015-12-13,183264.0
2015-12-12,208621.0
2015-12-11,209083.0
2015-12-10,210092.0
2015-12-09,220194.0
2015-12-08,189911.0
2015-12-07,184241.0
2015-12-06,176751.0
2015-12-05,198627.0
2015-12-04,160017.0
2015-12-03,168169.0
2015-12-02,175833.0
2015-12-01,182458.0
2015-11-30,169951.0
2015-11-29,128467.0
2015-11-28,167772.0
2015-11-27,155381.0
2015-11-26,162573.0
2015-11-25,149233.0
2015-11-24,147186.0
2015-11-23,139554.0
2015-11-22,122866.0
2015-11-21,155181.0
2015-11-20,152649.0
2015-11-19,153203.0
2015-11-18,166056.0
2015-11-17,156496.0
2015-11-16,147945.0
2015-11-15,135870.0
2015-11-14,152490.0
2015-11-13,153761.0
2015-11-12,151858.0
2015-11-11,166407.0
2015-11-10,151205.0
2015-11-09,149909.0
2015-11-08,130392.0
2015-11-07,158223.0
2015-11-06,162759.0
2015-11-05,187209.0
2015-11-04,206942.0
2015-11-03,175214.0
2015-11-02,154645.0
2015-11-01,151460.0
2015-10-31,153148.0
2015-10-30,162589.0
2015-10-29,162879.0
2015-10-28,152309.0
2015-10-27,140035.0
2015-10-26,122497.0
2015-10-25,122953.0
2015-10-24,137519.0
2015-10-23,138481.0
2015-10-22,146034.0
2015-10-21,154119.0
2015-10-20,135153.0
2015-10-19,134440.0
2015-10-18,116380.0
2015-10-17,137027.0
2015-10-16,139120.0
2015-10-15,152540.0
2015-10-14,133248.0
2015-10-13,130340.0
2015-10-12,124371.0
2015-10-11,104281.0
2015-10-10,127194.0
2015-10-09,117816.0
2015-10-08,136722.0
2015-10-07,136497.0
2015-10-06,140787.0
2015-10-05,115131.0
2015-10-04,98648.0
2015-10-03,129718.0
