Date,Value
2016-03-06,4004392.26328
2016-03-05,18219205.8849
2016-03-04,6843890.07063
2016-03-03,3660823.72516
2016-03-02,5912875.37992
2016-03-01,11910037.6759
2016-02-29,8973334.42648
2016-02-28,8045197.65443
2016-02-27,2577124.49847
2016-02-26,3335713.66304
2016-02-25,3124689.66982
2016-02-24,3726616.87451
2016-02-23,3976883.69551
2016-02-22,4350212.80198
2016-02-21,4198706.24107
2016-02-20,4918446.3414
2016-02-19,4069429.39093
2016-02-18,3903312.13967
2016-02-17,3953386.84294
2016-02-16,3996092.80038
2016-02-15,3665303.36728
2016-02-14,2795383.45629
2016-02-13,2705466.81328
2016-02-12,2627933.25534
2016-02-11,2731609.21864
2016-02-10,2522137.31764
2016-02-09,2285064.55673
2016-02-08,2650183.04277
2016-02-07,2957759.24812
2016-02-06,3304540.9475
2016-02-05,3499411.40217
2016-02-04,2341430.41634
2016-02-03,1976661.55127
2016-02-02,3929600.01519
2016-02-01,4997779.26626
2016-01-31,1414303.01375
2016-01-30,4276470.35733
2016-01-29,6544542.32061
2016-01-28,12897554.2976
2016-01-27,9956892.41348
2016-01-26,7554131.78154
2016-01-25,45992222.558
2016-01-24,38433356.1419
2016-01-23,33278578.0244
2016-01-22,7043414.58332
2016-01-21,3520396.33168
2016-01-20,5061050.41259
2016-01-19,10636308.7852
2016-01-18,9211159.67578
2016-01-17,6688157.58444
2016-01-16,1627411.81766
2016-01-15,1605659.3542
2016-01-14,1200884.44414
2016-01-13,1418323.06242
2016-01-12,1240624.8409
2016-01-11,1754221.804
2016-01-10,1156445.68689
2016-01-09,898916.058546
2016-01-08,1294742.51492
2016-01-07,1536633.73193
2016-01-06,1492712.39228
2016-01-05,1196076.64228
2016-01-04,1016358.61555
2016-01-03,891683.746701
2016-01-02,1014427.40827
2016-01-01,976452.839324
2015-12-31,1227621.2685
2015-12-30,2490059.56836
2015-12-29,2089114.92258
2015-12-28,1979239.84141
2015-12-27,1517703.74445
2015-12-26,2670582.94449
2015-12-25,4018262.26654
2015-12-24,4734609.23672
2015-12-23,4523984.27721
2015-12-22,4814662.10205
2015-12-21,5241787.46538
2015-12-20,3854017.04963
2015-12-19,3973674.7796
2015-12-18,4026919.22356
2015-12-17,4256300.69285
2015-12-16,4432222.99305
2015-12-15,4352520.59535
2015-12-14,4813539.63477
2015-12-13,5135908.4542
2015-12-12,3535444.34352
2015-12-11,3624518.39334
2015-12-10,3370213.78203
2015-12-09,3869382.8982
2015-12-08,2992135.18512
2015-12-07,3098092.99737
2015-12-06,5637565.63396
2015-12-05,4814997.07462
2015-12-04,2667462.20828
2015-12-03,2151712.50717
2015-12-02,2701487.04874
2015-12-01,2663137.25754
2015-11-30,2271903.22713
2015-11-29,1270903.66977
2015-11-28,2064689.21499
2015-11-27,2195779.20855
2015-11-26,2148058.27435
2015-11-25,1858049.90945
2015-11-24,1414610.27227
2015-11-23,1278362.90375
2015-11-22,1104568.38641
2015-11-21,1611089.44016
2015-11-20,2253779.26709
2015-11-19,2024646.99395
2015-11-18,2009885.64119
2015-11-17,1856400.16222
2015-11-16,2538621.21887
2015-11-15,2128062.23135
2015-11-14,3242922.67523
2015-11-13,2861605.14895
2015-11-12,2970257.4199
2015-11-11,3860070.4571
2015-11-10,2580989.22593
2015-11-09,2906015.99551
2015-11-08,2106559.62605
2015-11-07,2299911.46834
2015-11-06,2867169.80203
2015-11-05,3874950.61169
2015-11-04,11707414.8602
2015-11-03,2921589.02777
2015-11-02,2318357.45566
2015-11-01,1808217.9387
2015-10-31,1892685.65374
2015-10-30,2576175.75345
2015-10-29,2282588.66554
2015-10-28,1982987.32026
2015-10-27,1817399.43008
2015-10-26,1555314.87485
2015-10-25,1349019.65013
2015-10-24,1438771.54114
2015-10-23,1442045.16597
2015-10-22,1621906.31296
2015-10-21,1461543.98073
2015-10-20,1577569.83549
2015-10-19,1370688.34442
2015-10-18,1071197.31515
2015-10-17,1734621.27764
2015-10-16,1706812.78992
2015-10-15,2130369.1167
2015-10-14,1604043.53239
2015-10-13,1618164.22786
2015-10-12,1362093.22901
2015-10-11,980167.589914
2015-10-10,1283682.35625
2015-10-09,1352775.2459
2015-10-08,1975585.33814
2015-10-07,1481143.69499
2015-10-06,1780616.55273
2015-10-05,1215322.43153
2015-10-04,918962.564026
2015-10-03,1180360.3598
2015-10-02,1834545.02163
2015-10-01,1408171.12431
2015-09-30,1549007.54682
2015-09-29,1643197.11597
2015-09-28,1369699.08722
2015-09-27,762590.482176
2015-09-26,1084746.27679
2015-09-25,1449833.86953
2015-09-24,1131711.59734
2015-09-23,1354982.61012
2015-09-22,1536071.65121
2015-09-21,1487223.85423
2015-09-20,869500.502581
2015-09-19,1301022.97437
2015-09-18,1201441.58694
2015-09-17,1352347.35497
2015-09-16,1432383.60579
2015-09-15,1321276.59277
