Date,Value
2016-03-06,51.9810675167
2016-03-05,27.1998097948
2016-03-04,65.3381266179
2016-03-03,68.3469173253
2016-03-02,92.6745190408
2016-03-01,81.1869628575
2016-02-29,67.4938535691
2016-02-28,102.672316031
2016-02-27,68.2154682552
2016-02-26,83.0318357728
2016-02-25,64.0025082088
2016-02-24,43.6790983369
2016-02-23,35.1847158576
2016-02-22,60.3684655827
2016-02-21,24.0542889289
2016-02-20,40.1754107532
2016-02-19,54.0394396883
2016-02-18,35.8380909225
2016-02-17,40.8647564078
2016-02-16,45.2218539116
2016-02-15,39.6083897642
2016-02-14,29.8420371378
2016-02-13,41.851645041
2016-02-12,44.5909918732
2016-02-11,58.9782825485
2016-02-10,33.9924847121
2016-02-09,36.1675394635
2016-02-08,57.3426070803
2016-02-07,70.3677289239
2016-02-06,50.2245328148
2016-02-05,39.1676297037
2016-02-04,29.0873360527
2016-02-03,45.9290898849
2016-02-02,60.765974623
2016-02-01,54.2885446718
2016-01-31,63.4318856055
2016-01-30,90.9385549836
2016-01-29,31.87546988
2016-01-28,35.8251229822
2016-01-27,62.0620476956
2016-01-26,51.7186261215
2016-01-25,59.636493855
2016-01-24,36.0827328512
2016-01-23,26.9726165321
2016-01-22,21.5074596728
2016-01-21,24.0752431398
2016-01-20,14.8088658323
2016-01-19,36.2859238596
2016-01-18,24.6226485278
2016-01-17,12.5728595848
2016-01-16,11.2481226014
2016-01-15,11.3913099847
2016-01-14,47.8754054692
2016-01-13,19.8194390972
2016-01-12,49.7157904968
2016-01-11,31.4214759188
2016-01-10,45.7759803076
2016-01-09,30.0705254777
2016-01-08,23.065623104
2016-01-07,19.4168021281
2016-01-06,40.1434731976
2016-01-05,40.1909526535
2016-01-04,38.4274957144
2016-01-03,30.9093220907
2016-01-02,32.4716129279
2016-01-01,33.4598518386
2015-12-31,26.744399322
2015-12-30,22.6466172106
2015-12-29,25.62942636
2015-12-28,40.0611425455
2015-12-27,18.9956825841
2015-12-26,13.4303507941
2015-12-25,77.6906392984
2015-12-24,38.0637809451
2015-12-23,49.0962830193
2015-12-22,56.4968416473
2015-12-21,21.1689753631
2015-12-20,24.6716290553
2015-12-19,41.9387356911
2015-12-18,35.5424776419
2015-12-17,38.8647432644
2015-12-16,19.3939264768
